2025-09-15 09:50:56,053 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:58610 | Status:SYSTEM
2025-09-15 09:51:03,311 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-15 09:51:05,408 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 1 | Status:SYSTEM
2025-09-15 09:51:26,434 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:58610 | Status:SYSTEM
2025-09-15 09:51:26,435 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:51:26,777 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:58612 | Status:SYSTEM
2025-09-15 09:51:28,952 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:58612 | Status:SYSTEM
2025-09-15 09:51:57,352 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:58612 | Status:SYSTEM
2025-09-15 09:51:57,353 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:51:57,400 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:58614 | Status:SYSTEM
2025-09-15 09:51:57,435 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:58614 | Status:SYSTEM
2025-09-15 09:52:08,937 - INFO - Event:APPLICATION_STOPPED | Details:Server stopped by user | Status:SYSTEM
2025-09-15 09:52:08,937 - INFO - Event:APPLICATION_SHUTDOWN | Details:Application shutting down | Status:SYSTEM
2025-09-15 09:52:08,958 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:58:33,055 - INFO - Event:DATABASE_INIT | Details:SQLite database initialized at /home/silpc-011/Desktop/adwaith/biometricservice/database/attendance_queue.db | Status:SYSTEM
2025-09-15 09:58:33,055 - INFO - Event:APPLICATION_STARTING | Details:Biometric server application starting | Status:SYSTEM
2025-09-15 09:58:33,056 - INFO - Event:SERVER_STARTING | Details:WebSocket server starting on 0.0.0.0:8190 | Status:SYSTEM
2025-09-15 09:58:33,071 - INFO - Event:RETRY_TASK_STARTED | Details:Queue retry task started | Status:SYSTEM
2025-09-15 09:58:33,072 - INFO - Event:SERVER_STARTED | Details:Server listening on 0.0.0.0:8190 | Status:SYSTEM
2025-09-15 09:58:33,073 - INFO - Event:STARTUP_QUEUE_CHECK | Details:Found 1 pending records from previous session | Status:SYSTEM
2025-09-15 09:58:37,039 - INFO - Event:APPLICATION_STOPPED | Details:Server stopped by user | Status:SYSTEM
2025-09-15 09:58:37,040 - INFO - Event:APPLICATION_SHUTDOWN | Details:Application shutting down | Status:SYSTEM
2025-09-15 12:30:56,038 - INFO - Event:DATABASE_INIT | Details:SQLite database initialized at /home/silpc-011/Desktop/adwaith/biometricservice/database/attendance_queue.db | Status:SYSTEM
2025-09-15 12:30:56,040 - INFO - Event:APPLICATION_STARTING | Details:Biometric server application starting | Status:SYSTEM
2025-09-15 12:30:56,040 - INFO - Event:SERVER_STARTING | Details:WebSocket server starting on 0.0.0.0:8190 | Status:SYSTEM
2025-09-15 12:30:56,074 - INFO - Event:RETRY_TASK_STARTED | Details:Queue retry task started | Status:SYSTEM
2025-09-15 12:30:56,075 - INFO - Event:SERVER_STARTED | Details:Server listening on 0.0.0.0:8190 | Status:SYSTEM
2025-09-15 12:30:56,076 - INFO - Event:STARTUP_QUEUE_CHECK | Details:Found 1 pending records from previous session | Status:SYSTEM
2025-09-15 12:30:58,360 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:44580 | Status:SYSTEM
2025-09-15 12:30:59,643 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:44580 | Status:SYSTEM
2025-09-15 12:31:00,937 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-15 12:31:29,629 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:44580 | Status:SYSTEM
2025-09-15 12:31:29,630 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 12:31:32,630 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:44582 | Status:SYSTEM
2025-09-15 12:31:38,371 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:44582 | Status:SYSTEM
2025-09-15 12:32:03,262 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:44582 | Status:SYSTEM
2025-09-15 12:32:03,262 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 12:32:03,511 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:44584 | Status:SYSTEM
2025-09-15 12:32:03,925 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:44584 | Status:SYSTEM
2025-09-15 12:32:21,780 - INFO - Event:APPLICATION_STOPPED | Details:Server stopped by user | Status:SYSTEM
2025-09-15 12:32:21,781 - INFO - Event:APPLICATION_SHUTDOWN | Details:Application shutting down | Status:SYSTEM
2025-09-15 12:32:21,797 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
